question_id,question,gold_primary,direct_answer,direct_normalized_exact_match,direct_token_f1,direct_correctness_label,direct_risk_label,rag_answer,rag_normalized_exact_match,rag_token_f1,rag_correctness_label,rag_risk_label,rag_gold_supported_in_top_k,rag_supported_gold_answer,rag_supported_rank,evidence_chunk_count,bm25_gold_supported_in_top_k,bm25_supported_gold_answer,bm25_supported_rank,retrieval_error,token_f1_delta_rag_minus_direct,normalized_em_delta_rag_minus_direct,comparison_outcome,needs_manual_review
qb_2737,Austrian-born Hermann Maier is a former world champion in which sport?,Skiing,Alpine skiing,0,0.666667,partially_correct,medium,Alpine skiing,0,0.666667,partially_correct,medium,True,Skiing,1.0,40,True,Skiing,1.0,,0.0,0,unchanged,True
qb_3924,What was the first name of the wife of late singer/musician Marc Bolan?,June,June,1,1.0,correct,low,June,1,1.0,correct,low,True,June,3.0,200,True,June,3.0,,0.0,0,unchanged,False
qb_4512,"In medicine, a rhinologist is concerned with which part of the human body?",Nose,the nose,1,1.0,correct,low,nose,1,1.0,correct,low,True,Nose,1.0,1,True,Nose,1.0,,0.0,0,unchanged,False
qb_4643,"Satyriasis is excessive, often uncontrollable, what in a man?",Sexual desire,sexual desire,1,1.0,correct,low,sexual desire in a man,0,0.75,partially_correct,medium,True,Sexual desire,1.0,20,True,Sexual desire,1.0,,-0.25,-1,rag_regressed,True
qb_4760,A spinone is what type of animal?,Dog,Dog breed,0,0.666667,partially_correct,medium,dog,1,1.0,correct,low,True,Dog,2.0,78,True,Dog,2.0,,0.333333,1,rag_fixed,True
qb_7480,Which 1968 film starring Marianne Faithful was also known as ‘Naked Under Leather’?,Girl on a Motorcycle,The Girl on a Motorcycle,1,1.0,correct,low,The Girl on a Motorcycle,1,1.0,correct,low,True,Girl on a Motorcycle,1.0,86,True,Girl on a Motorcycle,1.0,,0.0,0,unchanged,False
qb_8855,Actress Audrey Hepburn sang ‘Moon River’ in which 1961 film?,Breakfast at Tiffany’s,Breakfast at Tiffany’s,1,1.0,correct,low,Breakfast at Tiffany's,1,1.0,correct,low,True,Breakfast At Tiffanys,1.0,102,True,Breakfast At Tiffanys,1.0,,0.0,0,unchanged,False
qb_9711,Cardiophobia is the irrational fear of which organ in the body?,Heart,heart,1,1.0,correct,low,heart,1,1.0,correct,low,True,Heart,1.0,65,True,Heart,1.0,,0.0,0,unchanged,False
qb_10178,British actress Audrey Kathleen Ruston was better known by what name?,Audrey Hepburn,Audrey Hepburn,1,1.0,correct,low,Audrey Hepburn,1,1.0,correct,low,True,Joseph Victor Anthony Ruston,1.0,200,True,Joseph Victor Anthony Ruston,1.0,,0.0,0,unchanged,False
dpql_1019,Which TV programme featured the Olympic Hide and Seek Final?,Monty Python’s Flying Circus,The Simpsons,0,0.0,incorrect,high,"Monty Python's Flying Circus, Series 3",0,0.8,partially_correct,medium,True,Monty Pythons Flying Circus,4.0,19,True,Monty Pythons Flying Circus,4.0,,0.8,0,rag_improved_partial,True
dpql_1195,Which 20 century artist was famous for his ‘drip’ style of painting?,Jackson Pollack,Jackson Pollock,1,1.0,correct,low,Jackson Pollock,1,1.0,correct,low,True,"Pollock, Jackson",3.0,34,True,"Pollock, Jackson",3.0,,0.0,0,unchanged,False
dpql_1279,The Egyptian god Anubis had the head of which animal?,JACKAL,jackal,1,1.0,correct,low,jackal,1,1.0,correct,low,True,JACKAL,1.0,200,True,JACKAL,1.0,,0.0,0,unchanged,False
dpql_2589,Which creature is considered to be the natural host of the Ebola virus?,Fruit Bat,Fruit bats,0,0.5,partially_correct,medium,Fruit bats,0,0.5,partially_correct,medium,True,Fruit Bat,1.0,70,True,Fruit Bat,1.0,,0.0,0,unchanged,True
dpql_3288,"A name featuring that of a marine mammal, what is the US Navy's equivalent to the SAS?",Navy Seals,Navy SEALs,1,1.0,correct,low,Navy SEALs,1,1.0,correct,low,True,SEALs,1.0,200,True,SEALs,1.0,,0.0,0,unchanged,False
dpql_3663,Which radioactive isotope is used to date archaeological samples?,Carbon 14,carbon-14,1,1.0,correct,low,Carbon-14 (14C),0,0.666667,partially_correct,medium,True,Carbon 14,1.0,93,True,Carbon 14,1.0,,-0.333333,-1,rag_regressed,True
dpql_3770,"... a mineral, varieties of which include emerald and aquamarine?",Beryl,beryl,1,1.0,correct,low,beryl,1,1.0,correct,low,True,Beryl,1.0,147,True,Beryl,1.0,,0.0,0,unchanged,False
dpql_4065,What mythical object did Sir Bedivere return to ‘The Lady of Avalon’?,EXCALIBUR,Excalibur,1,1.0,correct,low,Excalibur,1,1.0,correct,low,True,EXCALIBUR,1.0,197,True,EXCALIBUR,1.0,,0.0,0,unchanged,False
dpql_4287,What name do Salvation Army members give to their places of worship?,Citadels,Citadels,1,1.0,correct,low,citadels or temples,0,0.5,partially_correct,medium,True,Citadels,1.0,9,True,Citadels,1.0,,-0.5,-1,rag_regressed,True
dpql_4340,What was the only World War II battle fought in South America?,Battle of the River Plate,Battle of the River Plate,1,1.0,correct,low,Battle of the River Plate,1,1.0,correct,low,True,Battle of the River Plate,1.0,3,True,Battle of the River Plate,1.0,,0.0,0,unchanged,False
dpql_4429,Whose law states that “Work expands so as to fill the time available for its completion”?,PARKINSON,Parkinson's law,0,0.0,incorrect,high,Parkinson’s Law,0,0.0,incorrect,high,True,PARKINSON,1.0,65,True,PARKINSON,1.0,,0.0,0,unchanged,True
dpql_5103,"In 2014, who became the first New Zealand cricketer to score a test-match triple century?",Brendon McCullum,Brendon McCullum,1,1.0,correct,low,Brendon McCullum,1,1.0,correct,low,True,Brendon McCullum,1.0,52,True,Brendon McCullum,1.0,,0.0,0,unchanged,False
dpql_5236,What type of rock is formed when lava or magma cools?,IGNEOUS,Igneous rock,1,1.0,correct,low,Igneous rock,1,1.0,correct,low,True,IGNEOUS,1.0,75,True,IGNEOUS,1.0,,0.0,0,unchanged,False
dpql_6211,By what name was a member of the serf underclass known in Ancient Sparta?,Helot,Helot,1,1.0,correct,low,helot,1,1.0,correct,low,True,Helot,2.0,142,True,Helot,2.0,,0.0,0,unchanged,False
wh_28,In which town was the famous 'Gunfight at the OK corral'?,TOMBSTONE,"Tombstone, Arizona Territory",0,0.5,partially_correct,medium,Tombstone,1,1.0,correct,low,True,TOMBSTONE,1.0,186,True,TOMBSTONE,1.0,,0.5,1,rag_fixed,True
wh_886,Which heavyweight boxing champion of 1951 shares the same surname as a current Arsenal footballer who has the squad number 14?,WALCOTT,Ezzard Charles,0,0.0,incorrect,high,INSUFFICIENT_EVIDENCE,0,0.0,incorrect,high,False,,,200,False,,,,0.0,0,unchanged,True
wh_1375,Which cartoon character first appeared in an animated feature called The Wise Little Hen ?,DONALD DUCK,Donald Duck,1,1.0,correct,low,Donald Duck,1,1.0,correct,low,True,DONALD DUCK,2.0,146,True,DONALD DUCK,2.0,,0.0,0,unchanged,False
wh_1568,"""Translated as """"cluster of eight"""" and situated in the Pacific Ocean what name did the Ellice Islands adopt on gaining independence in 1978?""",TUVALU,Tuvalu,1,1.0,correct,low,Tuvalu,1,1.0,correct,low,False,,,200,False,,,,0.0,0,unchanged,False
wh_1768,"Ridden by a policeman named George Scorey, what was the name of the white horse used to clear the Wembley pitch at the 1923 FA Cup Final between Bolton and West Ham?",BILLIE,Billy,0,0.0,incorrect,high,Billie,1,1.0,correct,low,True,BILLIE,2.0,200,True,BILLIE,2.0,,1.0,1,rag_fixed,True
wh_1865,"""In which T.V. Detective series did """"Charlie Hungerford"""" appear ?""",BERGERAC,Bergerac,1,1.0,correct,low,Bergerac,1,1.0,correct,low,True,BERGERAC,1.0,200,True,BERGERAC,1.0,,0.0,0,unchanged,False
wh_2030,"""ANAGRAMS - Which sport is the link between the follwing anagrams of two famous Americans? """"MERGE OF ORANGE"""" and """"MONKEY SIT"""".""",BOXING,Boxing,1,1.0,correct,low,boxing,1,1.0,correct,low,False,,,200,False,,,,0.0,0,unchanged,False
wh_2166,The Swiss have completed construction of which underground rail tunnel which is over 35 miles long ? This tunnel will provide a railway link through the Alps and will become operational in 2017.,GOTTHARD Tunnel,Gotthard Base Tunnel,0,0.8,partially_correct,medium,Gotthard Base Tunnel,0,0.8,partially_correct,medium,True,GOTTHARD Tunnel,1.0,200,True,GOTTHARD Tunnel,1.0,,0.0,0,unchanged,True
wh_2672,What surname did actor Charles Buchinsky adopt in the Fifties before finding fame and success in films ?,CHARLES BRONSON,Bronson,0,0.666667,partially_correct,medium,Bronson,0,0.666667,partially_correct,medium,True,CHARLES BRONSON,1.0,200,True,CHARLES BRONSON,1.0,,0.0,0,unchanged,True
wh_2732,"What did Sir John Harrington design and have installed in his house in 1589 ? His was the first , certainly in England.",A WATER CLOSET,A flushing toilet (water closet),0,0.666667,partially_correct,medium,a flushing lavatory,0,0.5,partially_correct,medium,True,Watercloset,2.0,142,True,Watercloset,2.0,,-0.166667,0,unchanged,True
wh_2874,Give any year in the life of poet William Blake.,1757 - 1827,1757,0,0.666667,partially_correct,medium,1827,0,0.666667,partially_correct,medium,False,,,22,False,,,,0.0,0,unchanged,True
wh_3306,"What form of entertainment , not necessarily musical , has a name which means ' empty orchestra ' ?",KARAOKE,Karaoke,1,1.0,correct,low,Karaoke,1,1.0,correct,low,True,KARAOKE,1.0,10,True,KARAOKE,1.0,,0.0,0,unchanged,False
wh_3564,What is the longest book in the Old Testament ?,PSALMS,Psalms,1,1.0,correct,low,Psalms,1,1.0,correct,low,True,PSALMS,1.0,54,True,PSALMS,1.0,,0.0,0,unchanged,False
wh_4341,"In which 1959 film did an opera singer called Claude Heater play Jesus Christ, but was not creedited as his face was never shown ?",BEN HUR,Ben-Hur,1,1.0,correct,low,Ben-Hur,1,1.0,correct,low,True,BEN HUR,1.0,200,True,BEN HUR,1.0,,0.0,0,unchanged,False
bb_1294,"Catgut (for old musical instrument strings and tennis rackets, etc) was usually made from the intestines of which animal?",Sheep,Sheep,1,1.0,correct,low,sheep,1,1.0,correct,low,True,Sheep,1.0,200,True,Sheep,1.0,,0.0,0,unchanged,False
bb_1307,Arabic numerals originated in which country?,India,India,1,1.0,correct,low,India,1,1.0,correct,low,True,India,1.0,100,True,India,1.0,,0.0,0,unchanged,False
bb_1697,"Known also in the US and elswhere as President, what traditionally and descriptively is the most senior position in a company and other hierarchical organizations?",Chairman,Chief executive officer (CEO),0,0.571429,partially_correct,medium,CEO,0,0.0,incorrect,high,False,,,200,False,,,,-0.571429,0,rag_regressed_to_incorrect,True
bb_1816,"Abbrieviated to PIE, what is the ancient Eurasian reconstructed language and origin of wide-ranging modern languages including English, Spanish, Russian, Greek, Urdu and Farsi?",Proto-Indo-European,Proto-Indo-European language,1,1.0,correct,low,Proto-Indo-European language,1,1.0,correct,low,False,,,200,False,,,,0.0,0,unchanged,False
bb_2671,Lye is an old English word for?,Caustic soda,alkali solution,0,0.0,incorrect,high,wash,0,0.0,incorrect,high,True,Sodium hydroxide,1.0,11,True,Sodium hydroxide,1.0,,0.0,0,unchanged,True
bb_4237,"Which country borders Colombia, Ecuador, Bolivia and Chile?",Peru,Peru,1,1.0,correct,low,Peru,1,1.0,correct,low,True,Peru,1.0,200,True,Peru,1.0,,0.0,0,unchanged,False
bb_4789,"Derived from Latin for 'place', what anglicized French word commonly means 'instead' in formal communications?",Lieu,vice,0,0.0,incorrect,high,lieu,1,1.0,correct,low,False,,,66,False,,,,1.0,1,rag_fixed,True
bb_6469,"Theseus, Hyppolyta, Nick Bottom, and Oberon the King of the Fairies are in Shakespeare's play?",A Midsummer Night's Dream,A Midsummer Night’s Dream,1,1.0,correct,low,A Midsummer Night’s Dream,1,1.0,correct,low,True,A Midsummer Night's Dream,2.0,85,True,A Midsummer Night's Dream,2.0,,0.0,0,unchanged,False
bb_7231,If something is bicephalous it has two what?,Heads,heads,1,1.0,correct,low,heads,1,1.0,correct,low,True,Head,2.0,42,True,Head,2.0,,0.0,0,unchanged,False
bb_7436,Which comedy actor had a novelty hit with My Boomerang Won't Come Back?,Charlie Drake,Charlie Drake,1,1.0,correct,low,Charlie Drake,1,1.0,correct,low,True,Charlie Drake,1.0,25,True,Charlie Drake,1.0,,0.0,0,unchanged,False
bb_7590,What international standard paper size (denoted by the letter A plus a number) has the dimensions of 297 x 420mm?,A3,A3,1,1.0,correct,low,A3,1,1.0,correct,low,True,A3,2.0,200,True,A3,2.0,,0.0,0,unchanged,False
bb_7806,Who resigned as Prime Minister of Pakistan on 18 August 2008?,Pervez Musharraf,Shaukat Aziz,0,0.0,incorrect,high,INSUFFICIENT_EVIDENCE,0,0.0,incorrect,high,True,Pervez Musharraf,1.0,47,True,Pervez Musharraf,1.0,,0.0,0,unchanged,True
bb_8654,Name the convicted Lockerbie bomber released in August 2009?,Abdelbaset al-Megrahi,Abdelbaset al-Megrahi,1,1.0,correct,low,Abdel Baset al-Megrahi,1,1.0,correct,low,True,Al-Megrahi,1.0,162,True,Al-Megrahi,1.0,,0.0,0,unchanged,False
bb_8733,"What Israeli war film, named after the country of conflict featured in it, won the Golden Lion at the 2009 Venice Film Festival?",Lebanon,Lebanon,1,1.0,correct,low,Lebanon,1,1.0,correct,low,False,,,200,False,,,,0.0,0,unchanged,False
bb_9093,"In what part of the human body are the malleus, incus, and stapes?",Ear,middle ear,0,0.666667,partially_correct,medium,middle ear,0,0.666667,partially_correct,medium,True,Ear,1.0,38,True,Ear,1.0,,0.0,0,unchanged,True
bb_9277,What spirit usually goes into the making of a mint julep?,Bourbon,Bourbon whiskey,0,0.666667,partially_correct,medium,bourbon,1,1.0,correct,low,True,Bourbon,1.0,42,True,Bourbon,1.0,,0.333333,1,rag_fixed,True
qw_309,Who was the president of the Confederate States of America following its formation in 1861?,Jefferson Davis,Jefferson Davis,1,1.0,correct,low,Jefferson Davis,1,1.0,correct,low,True,Jefferson Davis,1.0,200,True,Jefferson Davis,1.0,,0.0,0,unchanged,False
qw_733,An axolotl is the larva or early form of what?,Salamander,a salamander,1,1.0,correct,low,salamander,1,1.0,correct,low,True,Salamander,1.0,87,True,Salamander,1.0,,0.0,0,unchanged,False
qw_1252,"""In 2008, the game of Cluedo was updated as Cluedo Reinvention"""" with some new weapons. Which one of these was in the original game?""",Lead pipe,Candlestick,0,0.0,incorrect,high,INSUFFICIENT_EVIDENCE,0,0.0,incorrect,high,True,Lead pipe,4.0,200,True,Lead pipe,4.0,,0.0,0,unchanged,True
qw_1385,"""""""Doo lang doo land doo lang"""" is the start of which hit from the 1960s?""",He's So Fine,“Da Doo Ron Ron”,0,0.0,incorrect,high,He's So Fine,1,1.0,correct,low,True,He's So Fine,1.0,98,True,He's So Fine,1.0,,1.0,1,rag_fixed,True
qw_1822,Which islands in the South Pacific between New Guinea and South America were annexed by France in 1842?,Marquesas,The Marquesas Islands,1,1.0,correct,low,Marquesas Islands,1,1.0,correct,low,True,Marquesas,1.0,114,True,Marquesas,1.0,,0.0,0,unchanged,False
qw_3123,Who discovered the moons of Saturn called Mimas and Enceladus between 1781 and 1789?,Herschel,William Herschel,0,0.666667,partially_correct,medium,William Herschel,0,0.666667,partially_correct,medium,True,Herschel,1.0,96,True,Herschel,1.0,,0.0,0,unchanged,True
qw_3399,"""What is the """"First Law of Robotics"""" devised by Isaac Asimov in his science fiction stories?""","A robot may not injure a human being or, through inaction, allow a human being to come to harm.","A robot may not injure a human being or, through inaction, allow a human being to come to harm.",1,1.0,correct,low,INSUFFICIENT_EVIDENCE,0,0.0,incorrect,high,True,Laws of Robotics,1.0,200,True,Laws of Robotics,1.0,,-1.0,-1,rag_regressed,True
qw_4434,Who was the Archbishop of Canterbury when women were first ordained as priests into the Church of England?,George Carey,George Carey,1,1.0,correct,low,George Carey,1,1.0,correct,low,True,George Carey,3.0,178,True,George Carey,3.0,,0.0,0,unchanged,False
qw_4612,"Which city, rebuilt in the Art Deco style after being largely razed by an earthquake in 1931, has become recognized as architecturally unique, and in 2007 was nominated for UNESCO World Heritage Site status?","Napier, New Zealand","Napier, New Zealand",1,1.0,correct,low,"Napier, New Zealand",1,1.0,correct,low,True,"Napier, New Zealand",1.0,151,True,"Napier, New Zealand",1.0,,0.0,0,unchanged,False
qw_5411,"What is the connection between the computer programming language ADA, developed in 1980, and the daughter of poet Lord Byron?","""Charles Babbage's """"analytical engine""""""","It was named after Ada Lovelace, Lord Byron’s daughter.",0,0.0,incorrect,high,"Named after Ada Lovelace, Lord Byron’s daughter",0,0.0,incorrect,high,True,"""Charles Babbage's """"analytical engine""""""",5.0,200,True,"""Charles Babbage's """"analytical engine""""""",5.0,,0.0,0,unchanged,True
qw_5520,"""Which group had a 1989 hit with """"The Living Years""""?""",Mike and the Mechanics,Mike + The Mechanics,1,1.0,correct,low,Mike + the Mechanics,1,1.0,correct,low,True,Mike & the Mechanics,1.0,18,True,Mike & the Mechanics,1.0,,0.0,0,unchanged,False
qw_5684,"The following are the first few examples of what: (220, 284), (1184, 1210), (2620, 2924), (5020, 5564) & (6232, 6368)?",Amicable numbers,amicable number pairs,0,0.8,partially_correct,medium,amicable pairs,1,1.0,correct,low,True,Amicable pairs,1.0,62,True,Amicable pairs,1.0,,0.2,1,rag_fixed,True
qw_7000,"What name is given to the list of all the accounts contained in the ledger of a business and their values, from which most financial reports are produced?",Trial balance,Chart of accounts,0,0.0,incorrect,high,trial balance,1,1.0,correct,low,True,Trial balance,1.0,33,True,Trial balance,1.0,,1.0,1,rag_fixed,True
qw_7426,"Which US state consists of two separate peninsulas, separated by the Straits of Mackinac, a five-mile (8 km)-wide channel?",Michigan,Michigan,1,1.0,correct,low,Michigan,1,1.0,correct,low,True,Mich.,4.0,200,True,Mich.,4.0,,0.0,0,unchanged,False
qw_9553,"""Where was """"the Bhopal disaster"""" that took place at a pesticide plant owned and operated by Union Carbide (UCIL), when the plant released methyl isocyanate (MIC) gas and other toxins in December 1984, exposing over 500,000 people?""","Madhya Pradesh, India","Bhopal, India",0,0.4,incorrect,high,"Bhopal, Madhya Pradesh, India",0,0.857143,partially_correct,medium,True,"Madhya Pradesh, India",1.0,158,True,"Madhya Pradesh, India",1.0,,0.457143,0,rag_improved_partial,True
qw_10067,"""Which British actor made his film debut in Peter Ustinov's film adaptation of """"Billy Budd"""" (1962) and went on to make a number of films, including """"The Collector"""" (1965), """"Far From The Madding Crowd"""" (1967), """"Poor Cow"""" (1967), """"Wall Street"""" (1987), """"The Adventures of Priscilla, Queen of the Desert"""" (1994), """"Bowfinger"""" (1999), """"My Boss's Daughter"""" (2003) and """"Elektra"""" (2005)?""",Terence Stamp,Terence Stamp,1,1.0,correct,low,Terence Stamp,1,1.0,correct,low,True,Terence Stamp,1.0,19,True,Terence Stamp,1.0,,0.0,0,unchanged,False
qw_11903,"A 2002 feature-length documentary film directed by David C. Thomas, that includes US government surveillance footage of a performance at the protests outside the 1968 Democratic National Convention in Chicago, is about which Detroit-based rock band?",MC5,MC5,1,1.0,correct,low,MC5,1,1.0,correct,low,True,MC5,1.0,24,True,MC5,1.0,,0.0,0,unchanged,False
qw_12339,"The iron pillar of Delhi, India, a 7 meter (22 feet) high pillar that is 98% pure wrought iron, has withstood corrosion in the open air for how long?","Over 1,600 years","about 1,600 years",0,0.666667,partially_correct,medium,"over 1,600 years",1,1.0,correct,low,True,"Over 1,600 years",1.0,121,True,"Over 1,600 years",1.0,,0.333333,1,rag_fixed,True
qw_13696,"""Who, styling himself """"Witch-Finder General"""" conducted witch-hunts mainly in the counties of Suffolk, Essex, Norfolk and occasionally in other eastern counties of England during the English Civil War?""",Matthew Hopkins,Matthew Hopkins,1,1.0,correct,low,Matthew Hopkins,1,1.0,correct,low,True,Matthew Hopkins,1.0,200,True,Matthew Hopkins,1.0,,0.0,0,unchanged,False
qw_15023,In which area is part or all of the Dakar Rally run since 2008?,South America,South America,1,1.0,correct,low,South America,1,1.0,correct,low,True,South America,2.0,200,True,South America,2.0,,0.0,0,unchanged,False
qw_15797,"The caffeine-rich infused drink, mate, is prepared from a species of South American holly called what?",Yerba,Ilex paraguariensis,1,1.0,correct,low,yerba mate,1,1.0,correct,low,True,Yerba,1.0,138,True,Yerba,1.0,,0.0,0,unchanged,False
qw_15875,Where is the village of Chibok?,Nigeria,"Borno State, northeastern Nigeria.",0,0.4,incorrect,high,Borno state,0,0.0,incorrect,high,True,Nigeria,3.0,29,True,Nigeria,3.0,,-0.4,0,unchanged,True
jp_66,What Christmas ballet was written by Pyotr Tchaikovsky?,The Nutcracker,The Nutcracker,1,1.0,correct,low,The Nutcracker,1,1.0,correct,low,True,The Nutcracker,1.0,125,True,The Nutcracker,1.0,,0.0,0,unchanged,False
jp_1483,What country contains most of the Ganges river delta?,Bangladesh,Bangladesh,1,1.0,correct,low,Bangladesh,1,1.0,correct,low,True,Bangladesh,5.0,174,True,Bangladesh,5.0,,0.0,0,unchanged,False
jp_1925,What is the address of the British Prime Minister?,10 Downing Street,"10 Downing Street, London SW1A 2AA, UK",0,0.6,partially_correct,medium,"10 Downing Street, London",0,0.857143,partially_correct,medium,True,10 Downing Street,1.0,125,True,10 Downing Street,1.0,,0.257143,0,unchanged,True
jp_1960,For what crime was Al Capone sent to prison?,Tax Evasion,Tax evasion,1,1.0,correct,low,tax evasion,1,1.0,correct,low,True,Tax Evasion,2.0,85,True,Tax Evasion,2.0,,0.0,0,unchanged,False
jp_2146,What type of animal killed the Crocodile Hunter?,Sting Ray,A stingray.,1,1.0,correct,low,stingray,1,1.0,correct,low,True,Stingrays,1.0,21,True,Stingrays,1.0,,0.0,0,unchanged,False
jp_3117,Who was crowned as the British monarch in 1838?,Queen Victoria,Queen Victoria,1,1.0,correct,low,Queen Victoria,1,1.0,correct,low,True,Queen Victoria,1.0,200,True,Queen Victoria,1.0,,0.0,0,unchanged,False
sfq_2107,In the theatre which colour should male actors avoid wearing as it is considered unlucky?,Yellow,Green,0,0.0,incorrect,high,green,0,0.0,incorrect,high,True,Yellow,1.0,200,True,Yellow,1.0,,0.0,0,unchanged,True
sfq_2108,Sauce Bigarade is made with which fruit?,Oranges,Bitter orange,0,0.5,partially_correct,medium,Seville orange,0,0.5,partially_correct,medium,True,Oranges,3.0,56,True,Oranges,3.0,,0.0,0,unchanged,True
sfq_2851,"""In the opera, """"Tosca"""", by Puccini, what is the name of the heroine's beloved, who is executed by firing squad in the final scenes?""",(MARIO) CAVARADOSSI,Mario Cavaradossi,1,1.0,correct,low,Mario Cavaradossi,1,1.0,correct,low,True,(MARIO) CAVARADOSSI,1.0,200,True,(MARIO) CAVARADOSSI,1.0,,0.0,0,unchanged,False
sfq_3112,Who composed the opera Tristan and Isolde?,Wagner,Richard Wagner,1,1.0,correct,low,Richard Wagner,1,1.0,correct,low,True,Wagner,1.0,199,True,Wagner,1.0,,0.0,0,unchanged,False
sfq_3121,In which year did Mussolini seize power in Italy and the Irish Free State become established?,1922,1922,1,1.0,correct,low,1922,1,1.0,correct,low,False,,,200,False,,,,0.0,0,unchanged,False
sfq_3836,Glenridding stands at the southern end and Pooley Bridge at the northern end of which Lake District lake?,Ullswater,Ullswater,1,1.0,correct,low,Ullswater,1,1.0,correct,low,True,Ullswater,1.0,15,True,Ullswater,1.0,,0.0,0,unchanged,False
sfq_3943,Elaine Bookbinder is the real name of which Mancunian singer?,ELKIE BROOKS,Elkie Brooks,1,1.0,correct,low,Elkie Brooks,1,1.0,correct,low,True,ELKIE BROOKS,1.0,24,True,ELKIE BROOKS,1.0,,0.0,0,unchanged,False
