question_id,question,gold_primary,predicted_answer,correctness_label,metric_normalized_exact_match,metric_token_f1,gold_supported_in_top_k,supported_gold_answer,supported_rank,prediction_is_empty,prediction_is_insufficient_evidence,answer_supported_by_retrieved_evidence,answer_support_passage_rank,supported_or_abstained,unsupported_answer_proxy,refused_despite_gold_support,groundedness_bucket,evidence_passage_count,evidence_char_count
qb_7480,Which 1968 film starring Marianne Faithful was also known as ‘Naked Under Leather’?,Girl on a Motorcycle,The Girl on a Motorcycle,correct,1,1.0,True,Girl on a Motorcycle,1.0,False,False,True,1,True,False,False,supported_correct,5,3540
qb_8855,Actress Audrey Hepburn sang ‘Moon River’ in which 1961 film?,Breakfast at Tiffany’s,Breakfast at Tiffany's,correct,1,1.0,True,Breakfast At Tiffanys,1.0,False,False,True,1,True,False,False,supported_correct,5,3497
qb_9711,Cardiophobia is the irrational fear of which organ in the body?,Heart,heart,correct,1,1.0,True,Heart,1.0,False,False,True,1,True,False,False,supported_correct,5,3771
qb_10178,British actress Audrey Kathleen Ruston was better known by what name?,Audrey Hepburn,Audrey Hepburn,correct,1,1.0,True,Joseph Victor Anthony Ruston,1.0,False,False,True,5,True,False,False,supported_correct,5,3873
dpql_1019,Which TV programme featured the Olympic Hide and Seek Final?,Monty Python’s Flying Circus,"Monty Python's Flying Circus, Series 3",partially_correct,0,0.8,True,Monty Pythons Flying Circus,4.0,False,False,True,4,True,False,False,supported_partial,5,4004
dpql_1195,Which 20 century artist was famous for his ‘drip’ style of painting?,Jackson Pollack,Jackson Pollock,correct,1,1.0,True,"Pollock, Jackson",3.0,False,False,True,3,True,False,False,supported_correct,5,3455
dpql_1279,The Egyptian god Anubis had the head of which animal?,JACKAL,jackal,correct,1,1.0,True,JACKAL,1.0,False,False,True,1,True,False,False,supported_correct,5,3413
dpql_2589,Which creature is considered to be the natural host of the Ebola virus?,Fruit Bat,Fruit bats,partially_correct,0,0.5,True,Fruit Bat,1.0,False,False,True,1,True,False,False,supported_partial,5,3880
dpql_3288,"A name featuring that of a marine mammal, what is the US Navy's equivalent to the SAS?",Navy Seals,Navy SEALs,correct,1,1.0,True,SEALs,1.0,False,False,False,,False,True,False,unsupported_answer_proxy,5,3736
dpql_3663,Which radioactive isotope is used to date archaeological samples?,Carbon 14,Carbon-14 (14C),partially_correct,0,0.666667,True,Carbon 14,1.0,False,False,False,,False,True,False,unsupported_answer_proxy,5,3570
dpql_3770,"... a mineral, varieties of which include emerald and aquamarine?",Beryl,beryl,correct,1,1.0,True,Beryl,1.0,False,False,True,1,True,False,False,supported_correct,5,3930
dpql_4065,What mythical object did Sir Bedivere return to ‘The Lady of Avalon’?,EXCALIBUR,Excalibur,correct,1,1.0,True,EXCALIBUR,1.0,False,False,True,1,True,False,False,supported_correct,5,3556
dpql_4287,What name do Salvation Army members give to their places of worship?,Citadels,citadels or temples,partially_correct,0,0.5,True,Citadels,1.0,False,False,True,1,True,False,False,supported_partial,5,3819
dpql_4340,What was the only World War II battle fought in South America?,Battle of the River Plate,Battle of the River Plate,correct,1,1.0,True,Battle of the River Plate,1.0,False,False,True,1,True,False,False,supported_correct,3,1871
dpql_4429,Whose law states that “Work expands so as to fill the time available for its completion”?,PARKINSON,Parkinson’s Law,incorrect,0,0.0,True,PARKINSON,1.0,False,False,True,1,True,False,False,supported_but_incorrect,5,3541
dpql_5103,"In 2014, who became the first New Zealand cricketer to score a test-match triple century?",Brendon McCullum,Brendon McCullum,correct,1,1.0,True,Brendon McCullum,1.0,False,False,True,1,True,False,False,supported_correct,5,3210
dpql_5236,What type of rock is formed when lava or magma cools?,IGNEOUS,Igneous rock,correct,1,1.0,True,IGNEOUS,1.0,False,False,True,1,True,False,False,supported_correct,5,3564
dpql_6211,By what name was a member of the serf underclass known in Ancient Sparta?,Helot,helot,correct,1,1.0,True,Helot,2.0,False,False,True,2,True,False,False,supported_correct,5,3495
wh_28,In which town was the famous 'Gunfight at the OK corral'?,TOMBSTONE,Tombstone,correct,1,1.0,True,TOMBSTONE,1.0,False,False,True,1,True,False,False,supported_correct,5,3247
wh_886,Which heavyweight boxing champion of 1951 shares the same surname as a current Arsenal footballer who has the squad number 14?,WALCOTT,INSUFFICIENT_EVIDENCE,incorrect,0,0.0,False,,,False,True,False,,True,False,False,abstained_without_gold_support,5,3573
wh_1375,Which cartoon character first appeared in an animated feature called The Wise Little Hen ?,DONALD DUCK,Donald Duck,correct,1,1.0,True,DONALD DUCK,2.0,False,False,True,2,True,False,False,supported_correct,5,3408
wh_1568,"""Translated as """"cluster of eight"""" and situated in the Pacific Ocean what name did the Ellice Islands adopt on gaining independence in 1978?""",TUVALU,Tuvalu,correct,1,1.0,False,,,False,False,False,,False,True,False,unsupported_answer_proxy,5,3884
wh_1768,"Ridden by a policeman named George Scorey, what was the name of the white horse used to clear the Wembley pitch at the 1923 FA Cup Final between Bolton and West Ham?",BILLIE,Billie,correct,1,1.0,True,BILLIE,2.0,False,False,True,2,True,False,False,supported_correct,5,3347
wh_1865,"""In which T.V. Detective series did """"Charlie Hungerford"""" appear ?""",BERGERAC,Bergerac,correct,1,1.0,True,BERGERAC,1.0,False,False,True,1,True,False,False,supported_correct,5,3671
wh_2030,"""ANAGRAMS - Which sport is the link between the follwing anagrams of two famous Americans? """"MERGE OF ORANGE"""" and """"MONKEY SIT"""".""",BOXING,boxing,correct,1,1.0,False,,,False,False,False,,False,True,False,unsupported_answer_proxy,5,3304
wh_2166,The Swiss have completed construction of which underground rail tunnel which is over 35 miles long ? This tunnel will provide a railway link through the Alps and will become operational in 2017.,GOTTHARD Tunnel,Gotthard Base Tunnel,partially_correct,0,0.8,True,GOTTHARD Tunnel,1.0,False,False,True,1,True,False,False,supported_partial,5,3616
wh_2672,What surname did actor Charles Buchinsky adopt in the Fifties before finding fame and success in films ?,CHARLES BRONSON,Bronson,partially_correct,0,0.666667,True,CHARLES BRONSON,1.0,False,False,True,1,True,False,False,supported_partial,5,3542
wh_2732,"What did Sir John Harrington design and have installed in his house in 1589 ? His was the first , certainly in England.",A WATER CLOSET,a flushing lavatory,partially_correct,0,0.5,True,Watercloset,2.0,False,False,True,1,True,False,False,supported_partial,5,3549
wh_2874,Give any year in the life of poet William Blake.,1757 - 1827,1827,partially_correct,0,0.666667,False,,,False,False,True,2,True,False,False,supported_partial,5,3658
wh_3306,"What form of entertainment , not necessarily musical , has a name which means ' empty orchestra ' ?",KARAOKE,Karaoke,correct,1,1.0,True,KARAOKE,1.0,False,False,True,1,True,False,False,supported_correct,5,3109
wh_3564,What is the longest book in the Old Testament ?,PSALMS,Psalms,correct,1,1.0,True,PSALMS,1.0,False,False,True,1,True,False,False,supported_correct,5,2981
wh_4341,"In which 1959 film did an opera singer called Claude Heater play Jesus Christ, but was not creedited as his face was never shown ?",BEN HUR,Ben-Hur,correct,1,1.0,True,BEN HUR,1.0,False,False,True,1,True,False,False,supported_correct,5,3418
bb_1294,"Catgut (for old musical instrument strings and tennis rackets, etc) was usually made from the intestines of which animal?",Sheep,sheep,correct,1,1.0,True,Sheep,1.0,False,False,True,1,True,False,False,supported_correct,5,3635
bb_1307,Arabic numerals originated in which country?,India,India,correct,1,1.0,True,India,1.0,False,False,True,1,True,False,False,supported_correct,5,3695
bb_1697,"Known also in the US and elswhere as President, what traditionally and descriptively is the most senior position in a company and other hierarchical organizations?",Chairman,CEO,incorrect,0,0.0,False,,,False,False,False,,False,True,False,unsupported_answer_proxy,5,3803
bb_1816,"Abbrieviated to PIE, what is the ancient Eurasian reconstructed language and origin of wide-ranging modern languages including English, Spanish, Russian, Greek, Urdu and Farsi?",Proto-Indo-European,Proto-Indo-European language,correct,1,1.0,False,,,False,False,False,,False,True,False,unsupported_answer_proxy,5,3599
bb_2671,Lye is an old English word for?,Caustic soda,wash,incorrect,0,0.0,True,Sodium hydroxide,1.0,False,False,True,1,True,False,False,supported_but_incorrect,5,3659
bb_4237,"Which country borders Colombia, Ecuador, Bolivia and Chile?",Peru,Peru,correct,1,1.0,True,Peru,1.0,False,False,True,1,True,False,False,supported_correct,5,3837
bb_4789,"Derived from Latin for 'place', what anglicized French word commonly means 'instead' in formal communications?",Lieu,lieu,correct,1,1.0,False,,,False,False,False,,False,True,False,unsupported_answer_proxy,5,3731
bb_6469,"Theseus, Hyppolyta, Nick Bottom, and Oberon the King of the Fairies are in Shakespeare's play?",A Midsummer Night's Dream,A Midsummer Night’s Dream,correct,1,1.0,True,A Midsummer Night's Dream,2.0,False,False,False,,False,True,False,unsupported_answer_proxy,5,3748
bb_7231,If something is bicephalous it has two what?,Heads,heads,correct,1,1.0,True,Head,2.0,False,False,False,,False,True,False,unsupported_answer_proxy,5,3272
bb_7436,Which comedy actor had a novelty hit with My Boomerang Won't Come Back?,Charlie Drake,Charlie Drake,correct,1,1.0,True,Charlie Drake,1.0,False,False,True,1,True,False,False,supported_correct,5,3464
bb_7590,What international standard paper size (denoted by the letter A plus a number) has the dimensions of 297 x 420mm?,A3,A3,correct,1,1.0,True,A3,2.0,False,False,True,2,True,False,False,supported_correct,5,3061
bb_7806,Who resigned as Prime Minister of Pakistan on 18 August 2008?,Pervez Musharraf,INSUFFICIENT_EVIDENCE,incorrect,0,0.0,True,Pervez Musharraf,1.0,False,True,False,,True,False,True,abstained_despite_gold_support,5,3679
bb_8654,Name the convicted Lockerbie bomber released in August 2009?,Abdelbaset al-Megrahi,Abdel Baset al-Megrahi,correct,1,1.0,True,Al-Megrahi,1.0,False,False,True,1,True,False,False,supported_correct,5,3762
bb_8733,"What Israeli war film, named after the country of conflict featured in it, won the Golden Lion at the 2009 Venice Film Festival?",Lebanon,Lebanon,correct,1,1.0,False,,,False,False,False,,False,True,False,unsupported_answer_proxy,5,3472
bb_9093,"In what part of the human body are the malleus, incus, and stapes?",Ear,middle ear,partially_correct,0,0.666667,True,Ear,1.0,False,False,True,1,True,False,False,supported_partial,5,3552
bb_9277,What spirit usually goes into the making of a mint julep?,Bourbon,bourbon,correct,1,1.0,True,Bourbon,1.0,False,False,True,1,True,False,False,supported_correct,5,3501
qw_309,Who was the president of the Confederate States of America following its formation in 1861?,Jefferson Davis,Jefferson Davis,correct,1,1.0,True,Jefferson Davis,1.0,False,False,True,1,True,False,False,supported_correct,5,3880
qw_733,An axolotl is the larva or early form of what?,Salamander,salamander,correct,1,1.0,True,Salamander,1.0,False,False,True,1,True,False,False,supported_correct,5,3446
qw_1252,"""In 2008, the game of Cluedo was updated as Cluedo Reinvention"""" with some new weapons. Which one of these was in the original game?""",Lead pipe,INSUFFICIENT_EVIDENCE,incorrect,0,0.0,True,Lead pipe,4.0,False,True,False,,True,False,True,abstained_despite_gold_support,5,3676
qw_1385,"""""""Doo lang doo land doo lang"""" is the start of which hit from the 1960s?""",He's So Fine,He's So Fine,correct,1,1.0,True,He's So Fine,1.0,False,False,True,1,True,False,False,supported_correct,5,3225
qw_1822,Which islands in the South Pacific between New Guinea and South America were annexed by France in 1842?,Marquesas,Marquesas Islands,correct,1,1.0,True,Marquesas,1.0,False,False,True,5,True,False,False,supported_correct,5,3529
qw_3123,Who discovered the moons of Saturn called Mimas and Enceladus between 1781 and 1789?,Herschel,William Herschel,partially_correct,0,0.666667,True,Herschel,1.0,False,False,True,3,True,False,False,supported_partial,5,3683
qw_3399,"""What is the """"First Law of Robotics"""" devised by Isaac Asimov in his science fiction stories?""","A robot may not injure a human being or, through inaction, allow a human being to come to harm.",INSUFFICIENT_EVIDENCE,incorrect,0,0.0,True,Laws of Robotics,1.0,False,True,False,,True,False,True,abstained_despite_gold_support,5,3576
qw_4434,Who was the Archbishop of Canterbury when women were first ordained as priests into the Church of England?,George Carey,George Carey,correct,1,1.0,True,George Carey,3.0,False,False,True,3,True,False,False,supported_correct,5,3569
qw_4612,"Which city, rebuilt in the Art Deco style after being largely razed by an earthquake in 1931, has become recognized as architecturally unique, and in 2007 was nominated for UNESCO World Heritage Site status?","Napier, New Zealand","Napier, New Zealand",correct,1,1.0,True,"Napier, New Zealand",1.0,False,False,True,1,True,False,False,supported_correct,5,3654
qw_5411,"What is the connection between the computer programming language ADA, developed in 1980, and the daughter of poet Lord Byron?","""Charles Babbage's """"analytical engine""""""","Named after Ada Lovelace, Lord Byron’s daughter",incorrect,0,0.0,True,"""Charles Babbage's """"analytical engine""""""",5.0,False,False,False,,False,True,False,unsupported_answer_proxy,5,3682
qw_5520,"""Which group had a 1989 hit with """"The Living Years""""?""",Mike and the Mechanics,Mike + the Mechanics,correct,1,1.0,True,Mike & the Mechanics,1.0,False,False,True,1,True,False,False,supported_correct,5,3319
qw_5684,"The following are the first few examples of what: (220, 284), (1184, 1210), (2620, 2924), (5020, 5564) & (6232, 6368)?",Amicable numbers,amicable pairs,correct,1,1.0,True,Amicable pairs,1.0,False,False,True,1,True,False,False,supported_correct,5,3428
qw_7000,"What name is given to the list of all the accounts contained in the ledger of a business and their values, from which most financial reports are produced?",Trial balance,trial balance,correct,1,1.0,True,Trial balance,1.0,False,False,True,1,True,False,False,supported_correct,5,3714
qw_7426,"Which US state consists of two separate peninsulas, separated by the Straits of Mackinac, a five-mile (8 km)-wide channel?",Michigan,Michigan,correct,1,1.0,True,Mich.,4.0,False,False,False,,False,True,False,unsupported_answer_proxy,5,3448
qw_9553,"""Where was """"the Bhopal disaster"""" that took place at a pesticide plant owned and operated by Union Carbide (UCIL), when the plant released methyl isocyanate (MIC) gas and other toxins in December 1984, exposing over 500,000 people?""","Madhya Pradesh, India","Bhopal, Madhya Pradesh, India",partially_correct,0,0.857143,True,"Madhya Pradesh, India",1.0,False,False,True,1,True,False,False,supported_partial,5,3364
qw_10067,"""Which British actor made his film debut in Peter Ustinov's film adaptation of """"Billy Budd"""" (1962) and went on to make a number of films, including """"The Collector"""" (1965), """"Far From The Madding Crowd"""" (1967), """"Poor Cow"""" (1967), """"Wall Street"""" (1987), """"The Adventures of Priscilla, Queen of the Desert"""" (1994), """"Bowfinger"""" (1999), """"My Boss's Daughter"""" (2003) and """"Elektra"""" (2005)?""",Terence Stamp,Terence Stamp,correct,1,1.0,True,Terence Stamp,1.0,False,False,True,1,True,False,False,supported_correct,5,3486
qw_11903,"A 2002 feature-length documentary film directed by David C. Thomas, that includes US government surveillance footage of a performance at the protests outside the 1968 Democratic National Convention in Chicago, is about which Detroit-based rock band?",MC5,MC5,correct,1,1.0,True,MC5,1.0,False,False,True,1,True,False,False,supported_correct,5,3685
qw_12339,"The iron pillar of Delhi, India, a 7 meter (22 feet) high pillar that is 98% pure wrought iron, has withstood corrosion in the open air for how long?","Over 1,600 years","over 1,600 years",correct,1,1.0,True,"Over 1,600 years",1.0,False,False,True,1,True,False,False,supported_correct,5,3322
qw_13696,"""Who, styling himself """"Witch-Finder General"""" conducted witch-hunts mainly in the counties of Suffolk, Essex, Norfolk and occasionally in other eastern counties of England during the English Civil War?""",Matthew Hopkins,Matthew Hopkins,correct,1,1.0,True,Matthew Hopkins,1.0,False,False,True,1,True,False,False,supported_correct,5,3686
qw_15023,In which area is part or all of the Dakar Rally run since 2008?,South America,South America,correct,1,1.0,True,South America,2.0,False,False,True,2,True,False,False,supported_correct,5,3654
qw_15797,"The caffeine-rich infused drink, mate, is prepared from a species of South American holly called what?",Yerba,yerba mate,correct,1,1.0,True,Yerba,1.0,False,False,True,1,True,False,False,supported_correct,5,3648
qw_15875,Where is the village of Chibok?,Nigeria,Borno state,incorrect,0,0.0,True,Nigeria,3.0,False,False,True,3,True,False,False,supported_but_incorrect,5,3620
jp_66,What Christmas ballet was written by Pyotr Tchaikovsky?,The Nutcracker,The Nutcracker,correct,1,1.0,True,The Nutcracker,1.0,False,False,True,1,True,False,False,supported_correct,5,3753
jp_1483,What country contains most of the Ganges river delta?,Bangladesh,Bangladesh,correct,1,1.0,True,Bangladesh,5.0,False,False,True,5,True,False,False,supported_correct,5,3590
jp_1925,What is the address of the British Prime Minister?,10 Downing Street,"10 Downing Street, London",partially_correct,0,0.857143,True,10 Downing Street,1.0,False,False,False,,False,True,False,unsupported_answer_proxy,5,3654
jp_1960,For what crime was Al Capone sent to prison?,Tax Evasion,tax evasion,correct,1,1.0,True,Tax Evasion,2.0,False,False,True,2,True,False,False,supported_correct,5,3564
jp_2146,What type of animal killed the Crocodile Hunter?,Sting Ray,stingray,correct,1,1.0,True,Stingrays,1.0,False,False,True,1,True,False,False,supported_correct,5,3783
jp_3117,Who was crowned as the British monarch in 1838?,Queen Victoria,Queen Victoria,correct,1,1.0,True,Queen Victoria,1.0,False,False,True,1,True,False,False,supported_correct,5,3562
sfq_2107,In the theatre which colour should male actors avoid wearing as it is considered unlucky?,Yellow,green,incorrect,0,0.0,True,Yellow,1.0,False,False,True,1,True,False,False,supported_but_incorrect,5,3622
sfq_2108,Sauce Bigarade is made with which fruit?,Oranges,Seville orange,partially_correct,0,0.5,True,Oranges,3.0,False,False,True,1,True,False,False,supported_partial,5,3493
sfq_2851,"""In the opera, """"Tosca"""", by Puccini, what is the name of the heroine's beloved, who is executed by firing squad in the final scenes?""",(MARIO) CAVARADOSSI,Mario Cavaradossi,correct,1,1.0,True,(MARIO) CAVARADOSSI,1.0,False,False,True,1,True,False,False,supported_correct,5,3611
sfq_3112,Who composed the opera Tristan and Isolde?,Wagner,Richard Wagner,correct,1,1.0,True,Wagner,1.0,False,False,True,1,True,False,False,supported_correct,5,3734
sfq_3121,In which year did Mussolini seize power in Italy and the Irish Free State become established?,1922,1922,correct,1,1.0,False,,,False,False,False,,False,True,False,unsupported_answer_proxy,5,3851
sfq_3836,Glenridding stands at the southern end and Pooley Bridge at the northern end of which Lake District lake?,Ullswater,Ullswater,correct,1,1.0,True,Ullswater,1.0,False,False,True,1,True,False,False,supported_correct,5,3359
sfq_3943,Elaine Bookbinder is the real name of which Mancunian singer?,ELKIE BROOKS,Elkie Brooks,correct,1,1.0,True,ELKIE BROOKS,1.0,False,False,True,1,True,False,False,supported_correct,5,3740
