question_id,question,gold_primary,direct_answer,rag_answer,direct_correctness_label,rag_correctness_label,comparison_outcome,bm25_gold_supported_in_top_k,bm25_supported_gold_answer,bm25_supported_rank,manual_label,error_type,review_notes,review_status
dpql_1019,Which TV programme featured the Olympic Hide and Seek Final?,Monty Python’s Flying Circus,The Simpsons,"Monty Python's Flying Circus, Series 3",incorrect,partially_correct,rag_improved_partial,True,Monty Pythons Flying Circus,4.0,direct_wrong_rag_partial,wrong_granularity,RAG improved the direct failure but did not fully match the gold answer.,human_verified
dpql_2589,Which creature is considered to be the natural host of the Ebola virus?,Fruit Bat,Fruit bats,Fruit bats,partially_correct,partially_correct,unchanged,True,Fruit Bat,1.0,metric_artifact,metric_morphology,At least one answer appears to be a morphology or plurality variant that automatic scoring treats as partial.,human_verified
dpql_3663,Which radioactive isotope is used to date archaeological samples?,Carbon 14,carbon-14,Carbon-14 (14C),correct,partially_correct,rag_regressed,True,Carbon 14,1.0,direct_correct_rag_wrong,incorrect_entity,RAG changed a better direct answer into a worse answer.,human_verified
dpql_4287,What name do Salvation Army members give to their places of worship?,Citadels,Citadels,citadels or temples,correct,partially_correct,rag_regressed,True,Citadels,1.0,direct_correct_rag_partial,overcomplete_answer,RAG included extra information beyond the expected answer.,human_verified
dpql_4429,Whose law states that “Work expands so as to fill the time available for its completion”?,PARKINSON,Parkinson's law,Parkinson’s Law,incorrect,incorrect,unchanged,True,PARKINSON,1.0,both_wrong,evidence_use_failure,"BM25 found supporting evidence, but neither system returned the benchmark answer.",human_verified
wh_28,In which town was the famous 'Gunfight at the OK corral'?,TOMBSTONE,"Tombstone, Arizona Territory",Tombstone,partially_correct,correct,rag_fixed,True,TOMBSTONE,1.0,direct_partial_rag_correct,wrong_granularity,RAG returned the expected shorter gold answer while direct was over-specific or differently phrased.,human_verified
wh_886,Which heavyweight boxing champion of 1951 shares the same surname as a current Arsenal footballer who has the squad number 14?,WALCOTT,Ezzard Charles,INSUFFICIENT_EVIDENCE,incorrect,incorrect,unchanged,False,,,both_wrong,outdated_or_context_sensitive_fact,Both systems conflict with the benchmark answer on a time-sensitive or context-sensitive question.,human_verified
wh_1768,"Ridden by a policeman named George Scorey, what was the name of the white horse used to clear the Wembley pitch at the 1923 FA Cup Final between Bolton and West Ham?",BILLIE,Billy,Billie,incorrect,correct,rag_fixed,True,BILLIE,2.0,direct_wrong_rag_correct,incorrect_entity,RAG corrected a direct-answer mistake.,human_verified
wh_2166,The Swiss have completed construction of which underground rail tunnel which is over 35 miles long ? This tunnel will provide a railway link through the Alps and will become operational in 2017.,GOTTHARD Tunnel,Gotthard Base Tunnel,Gotthard Base Tunnel,partially_correct,partially_correct,unchanged,True,GOTTHARD Tunnel,1.0,ambiguous_partial,wrong_granularity,Both systems are close but differ from the expected answer granularity.,human_verified
wh_2672,What surname did actor Charles Buchinsky adopt in the Fifties before finding fame and success in films ?,CHARLES BRONSON,Bronson,Bronson,partially_correct,partially_correct,unchanged,True,CHARLES BRONSON,1.0,ambiguous_partial,wrong_granularity,Both systems are close but differ from the expected answer granularity.,human_verified
wh_2732,"What did Sir John Harrington design and have installed in his house in 1589 ? His was the first , certainly in England.",A WATER CLOSET,A flushing toilet (water closet),a flushing lavatory,partially_correct,partially_correct,unchanged,True,Watercloset,2.0,ambiguous_partial,wrong_granularity,Both systems are close but differ from the expected answer granularity.,human_verified
wh_2874,Give any year in the life of poet William Blake.,1757 - 1827,1757,1827,partially_correct,partially_correct,unchanged,False,,,ambiguous_partial,historical_geography_ambiguity,Both answers are partially aligned with an ambiguous or historically sensitive gold answer.,human_verified
bb_1697,"Known also in the US and elswhere as President, what traditionally and descriptively is the most senior position in a company and other hierarchical organizations?",Chairman,Chief executive officer (CEO),CEO,partially_correct,incorrect,rag_regressed_to_incorrect,False,,,direct_correct_rag_wrong,incorrect_entity,RAG changed a better direct answer into a worse answer.,human_verified
bb_2671,Lye is an old English word for?,Caustic soda,alkali solution,wash,incorrect,incorrect,unchanged,True,Sodium hydroxide,1.0,both_wrong,evidence_use_failure,"BM25 found supporting evidence, but neither system returned the benchmark answer.",human_verified
bb_4789,"Derived from Latin for 'place', what anglicized French word commonly means 'instead' in formal communications?",Lieu,vice,lieu,incorrect,correct,rag_fixed,False,,,direct_wrong_rag_correct,incorrect_entity,RAG corrected a direct-answer mistake.,human_verified
bb_7806,Who resigned as Prime Minister of Pakistan on 18 August 2008?,Pervez Musharraf,Shaukat Aziz,INSUFFICIENT_EVIDENCE,incorrect,incorrect,unchanged,True,Pervez Musharraf,1.0,both_wrong,evidence_use_failure,"BM25 found supporting evidence, but neither system returned the benchmark answer.",human_verified
bb_9093,"In what part of the human body are the malleus, incus, and stapes?",Ear,middle ear,middle ear,partially_correct,partially_correct,unchanged,True,Ear,1.0,ambiguous_partial,wrong_granularity,Both systems are close but differ from the expected answer granularity.,human_verified
bb_9277,What spirit usually goes into the making of a mint julep?,Bourbon,Bourbon whiskey,bourbon,partially_correct,correct,rag_fixed,True,Bourbon,1.0,direct_partial_rag_correct,wrong_granularity,RAG returned the expected shorter gold answer while direct was over-specific or differently phrased.,human_verified
qw_1252,"""In 2008, the game of Cluedo was updated as Cluedo Reinvention"""" with some new weapons. Which one of these was in the original game?""",Lead pipe,Candlestick,INSUFFICIENT_EVIDENCE,incorrect,incorrect,unchanged,True,Lead pipe,4.0,both_wrong,evidence_use_failure,"BM25 found supporting evidence, but neither system returned the benchmark answer.",human_verified
qw_1385,"""""""Doo lang doo land doo lang"""" is the start of which hit from the 1960s?""",He's So Fine,“Da Doo Ron Ron”,He's So Fine,incorrect,correct,rag_fixed,True,He's So Fine,1.0,direct_wrong_rag_correct,incorrect_entity,RAG corrected a direct-answer mistake.,human_verified
qw_3123,Who discovered the moons of Saturn called Mimas and Enceladus between 1781 and 1789?,Herschel,William Herschel,William Herschel,partially_correct,partially_correct,unchanged,True,Herschel,1.0,ambiguous_partial,wrong_granularity,Both systems are close but differ from the expected answer granularity.,human_verified
qw_3399,"""What is the """"First Law of Robotics"""" devised by Isaac Asimov in his science fiction stories?""","A robot may not injure a human being or, through inaction, allow a human being to come to harm.","A robot may not injure a human being or, through inaction, allow a human being to come to harm.",INSUFFICIENT_EVIDENCE,correct,incorrect,rag_regressed,True,Laws of Robotics,1.0,direct_correct_rag_wrong,incorrect_entity,RAG changed a better direct answer into a worse answer.,human_verified
qw_5411,"What is the connection between the computer programming language ADA, developed in 1980, and the daughter of poet Lord Byron?","""Charles Babbage's """"analytical engine""""""","It was named after Ada Lovelace, Lord Byron’s daughter.","Named after Ada Lovelace, Lord Byron’s daughter",incorrect,incorrect,unchanged,True,"""Charles Babbage's """"analytical engine""""""",5.0,both_wrong,evidence_use_failure,"BM25 found supporting evidence, but neither system returned the benchmark answer.",human_verified
qw_5684,"The following are the first few examples of what: (220, 284), (1184, 1210), (2620, 2924), (5020, 5564) & (6232, 6368)?",Amicable numbers,amicable number pairs,amicable pairs,partially_correct,correct,rag_fixed,True,Amicable pairs,1.0,direct_partial_rag_correct,wrong_granularity,RAG returned the expected shorter gold answer while direct was over-specific or differently phrased.,human_verified
qw_7000,"What name is given to the list of all the accounts contained in the ledger of a business and their values, from which most financial reports are produced?",Trial balance,Chart of accounts,trial balance,incorrect,correct,rag_fixed,True,Trial balance,1.0,direct_wrong_rag_correct,incorrect_entity,RAG corrected a direct-answer mistake.,human_verified
qw_9553,"""Where was """"the Bhopal disaster"""" that took place at a pesticide plant owned and operated by Union Carbide (UCIL), when the plant released methyl isocyanate (MIC) gas and other toxins in December 1984, exposing over 500,000 people?""","Madhya Pradesh, India","Bhopal, India","Bhopal, Madhya Pradesh, India",incorrect,partially_correct,rag_improved_partial,True,"Madhya Pradesh, India",1.0,direct_wrong_rag_partial,wrong_granularity,RAG improved the direct failure but did not fully match the gold answer.,human_verified
qw_12339,"The iron pillar of Delhi, India, a 7 meter (22 feet) high pillar that is 98% pure wrought iron, has withstood corrosion in the open air for how long?","Over 1,600 years","about 1,600 years","over 1,600 years",partially_correct,correct,rag_fixed,True,"Over 1,600 years",1.0,direct_partial_rag_correct,wrong_granularity,RAG returned the expected shorter gold answer while direct was over-specific or differently phrased.,human_verified
qw_15875,Where is the village of Chibok?,Nigeria,"Borno State, northeastern Nigeria.",Borno state,incorrect,incorrect,unchanged,True,Nigeria,3.0,both_wrong,evidence_use_failure,"BM25 found supporting evidence, but neither system returned the benchmark answer.",human_verified
jp_1925,What is the address of the British Prime Minister?,10 Downing Street,"10 Downing Street, London SW1A 2AA, UK","10 Downing Street, London",partially_correct,partially_correct,unchanged,True,10 Downing Street,1.0,ambiguous_partial,wrong_granularity,Both systems are close but differ from the expected answer granularity.,human_verified
sfq_2107,In the theatre which colour should male actors avoid wearing as it is considered unlucky?,Yellow,Green,green,incorrect,incorrect,unchanged,True,Yellow,1.0,both_wrong,evidence_use_failure,"BM25 found supporting evidence, but neither system returned the benchmark answer.",human_verified
sfq_2108,Sauce Bigarade is made with which fruit?,Oranges,Bitter orange,Seville orange,partially_correct,partially_correct,unchanged,True,Oranges,3.0,ambiguous_partial,wrong_granularity,Both systems are close but differ from the expected answer granularity.,human_verified
